広告ID,広告名,広告セット名,キャンペーン名,訴求名,登録経路,インプレッション,クリック,消費額,CV数,フロント販売本数,CPM,CTR(%),CVR(%),CPA,フロントCPO
1.8499E+15,＃納品_はいそこまで_期待醸成_TT_mz5eif8q.mp4,広告セット 20250902064213,251115/セン/SNSまとめ(ガチャ)/LP2-CR00036,SNS,,1082,4,1264,0,0,1168.21,0.3697,0,0,0
1.84987E+15,[納品」二極化_オファー強化_Meta2 (online-video-cutter.com)_apQtXCqD.mp4,広告セット 20251108104919,251121 AI スマ AIまとめ(ガチャ_ピクセル1)  LP1-CR00661,AI,,1111,3,1199,0,0,1079.21,0.27,0,0,0
1.84987E+15,箕輪 さん切り抜きTiktTok③【AI訴求】これ間違いです_jSIxB7cq.mp4,広告セット ,【複製_1211】251107 AI スマ AIまとめ(箕輪＆3兆円)  LP2-CR00048 141,AI,,1419,4,1132,0,0,797.74,0.2819,0,0,0
1.85005E+15,TT_25(冒頭②_権威製2_オファーあり_社会証明あり_CTA別あり) (online-video-cutter.com)_6iVtI1E9.mp4,広告セット 20251108104919,251128 AI スマ AIまとめ(二極化 1年後悔)  LP2-CR00138,AI,,811,1,1073,0,0,1323.06,0.1233,0,0,0
1.84987E+15,箕輪 さん切り抜きTiktTok①【AI訴求】これ間違いです_sLgz4Ehv.mp4,広告セット 20251108104919,1個の251108 AI スマ AIまとめ(箕輪＆3兆円_ピクセル1)  LP1-CR00647をコピー,AI,,1060,4,1043,0,0,983.96,0.3774,0,0,0
1.84923E+15,251119/清水絢吾/正直に答えてね/Claudeマネタイズ/LP2-CR00089,Claude,251119 AI スマ 正直に答えてね  LP2-CR00084-91,AI,TikTok広告-AI-LP2-CR00089,202,0,1012,0,0,5009.9,0,0,0,0
1.84987E+15,冒頭2セミナー開催決定TikTok_o2RyA5bB.mp4,広告セット 20250911021302,1個の1個の【複製_1110】251019/セミ/スマ/セミまとめ(開催決定まとめ)/LP1-CR00013をコピーをコピーをコピーをコピーをコピー,Unknown,,1200,3,1004,0,0,836.67,0.25,0,0,0
1.84987E+15,【免責文あり】セミナーダイジェスト_JyqV3oPp.mp4,広告セット 20250911021302,1個の1個の【複製_1110】251019/セミ/スマ/セミまとめ(開催決定まとめ)/LP1-CR00013をコピーをコピーをコピーをコピーをコピー,Unknown,,842,2,927,0,0,1100.95,0.2375,0,0,0
1.8499E+15,マーケ足りてない_冒頭2-TikTok1年ファン化_SNS_LEkdzq5P.mp4,広告セット 20250902064213,251115/セン/SNSまとめ(ガチャ)/LP2-CR00036,SNS,,927,1,919,0,0,991.37,0.1079,0,0,0
1.84987E+15,箕輪 さん切り抜きTiktTok⑥【AI訴求】これ間違いです_kq6heKXc.mp4,広告セット ,【複製_1211】251107 AI スマ AIまとめ(箕輪＆3兆円)  LP2-CR00048 141,AI,,1423,3,906,0,0,636.68,0.2108,0,0,0
