日付,広告セットID,広告セット名,キャンペーン名,インプレッション,クリック,コンバージョン,CTR(%),CVR(%),消費額,CPA
2025-12-01,"1848559940126785","1個の広告セット 20251112012551をコピー","251112/セミ/スマ/セミまとめ(ホリエモン新規冒頭)/LP1-CR00073-85",5322,42,0,0.7892,0.0000,8110.00,0
2025-12-02,"1848559940126785","1個の広告セット 20251112012551をコピー","251112/セミ/スマ/セミまとめ(ホリエモン新規冒頭)/LP1-CR00073-85",4844,31,0,0.6400,0.0000,9903.00,0
2025-12-01,"1849390558629969","広告セット 20251108104919","251121 AI スマ AIまとめ(ガチャ_ピクセル1)  LP1-CR00661",60802,249,0,0.4095,0.0000,90559.00,0
2025-12-02,"1849390558629969","広告セット 20251108104919","251121 AI スマ AIまとめ(ガチャ_ピクセル1)  LP1-CR00661",96618,380,0,0.3933,0.0000,110328.00,0
2025-12-01,"1846844163158146","広告セット 20250902064213","251024/セン/SNSまとめ(勝)/LP2-CR00033",0,0,0,0,0,0.00,0
2025-12-01,"1849868184451282","箕輪さん⑤","251126 AI スマ 著名人 AI学ぶな  LP2-CR000123-131",4723,32,0,0.6775,0.0000,4000.00,0
2025-12-02,"1849868184451282","箕輪さん⑤","251126 AI スマ 著名人 AI学ぶな  LP2-CR000123-131",7417,48,0,0.6472,0.0000,5000.00,0
2025-12-01,"1847932688504930","広告セットCR00039","251105/AI/タゲ/ホリエモンCR/LP2-CR00038-40",0,0,0,0,0,0.00,0
2025-12-01,"1848577275883633","251113 ノンタゲ","251113 セン ホリエモン×SNSオファー CR580～CR582",0,0,0,0,0,0.00,0
2025-12-01,"1848835027623089","広告セット 20250902064213","251115/セン/SNSまとめ(ガチャ)/LP2-CR00036",98093,409,0,0.4170,0.0000,105406.00,0
2025-12-02,"1848835027623089","広告セット 20250902064213","251115/セン/SNSまとめ(ガチャ)/LP2-CR00036",58001,280,0,0.4828,0.0000,80721.00,0
2025-12-01,"1830993756558449","広告セット 20250501112931_C","5/3 セン CR374 タゲ これ全部やめました",0,0,0,0,0,0.00,0
2025-12-01,"1818974728540257","広告セット 20241221123218","12/21 セン CR225 スマ 当たり10",0,0,0,0,0,0.00,0
2025-12-01,"1848835779593538","広告セット ","1個の251031 AI スマ AIまとめ(11月オファー強化_林社長関連)  LP2-CR00032をコピー",11838,86,0,0.7265,0.0000,24066.00,0
2025-12-02,"1848835779593538","広告セット ","1個の251031 AI スマ AIまとめ(11月オファー強化_林社長関連)  LP2-CR00032をコピー",0,0,0,0,0,0.00,0
2025-12-01,"1849387226693666","フリーランス 強化","251121 AI スマ 二極化 検証  LP2-CR00092-95",0,0,0,0,0,0.00,0
2025-12-01,"1847645879676050","広告セット ","251102 AI スマ AIまとめ(勝ち_11月特典)  LP2-CR00035",0,0,0,0,0,0.00,0
2025-12-01,"1849031293464770","広告セット ","【複製_1211】251107 AI スマ AIまとめ(箕輪＆3兆円)  LP2-CR00048 141",251777,824,0,0.3273,0.0000,204209.00,0
2025-12-02,"1849031293464770","広告セット ","【複製_1211】251107 AI スマ AIまとめ(箕輪＆3兆円)  LP2-CR00048 141",227649,711,0,0.3123,0.0000,184149.00,0
2025-12-01,"1849742089803826","1個の1個の1118_広告セット 20251113110929をコピーをコピー","1個の251120/セミ/スマ/開催決定強化/LP2-CR00127-130",0,0,0,0,0,0.00,0
2025-12-02,"1849742089803826","1個の1個の1118_広告セット 20251113110929をコピーをコピー","1個の251120/セミ/スマ/開催決定強化/LP2-CR00127-130",0,0,0,0,0,0.00,0
2025-12-01,"1845576550419586","広告セット ","010/10 AI スマ AIまとめ(1011休日強化)  LP2-CR00023",0,0,0,0,0,0.00,0
