広告ID,広告名,アカウント名,LP-CR,登録経路,出稿日,初動終了日,初動3日間費用,初動3日間CV数,初動3日間CPA
1851650964329473,"251216/清水絢吾/スマプラ/二極化・シーン・後悔/LP2-CR00169",AI_3,LP2-CR00169,"TikTok広告-AI-LP2-CR00169",2025-12-15,2025-12-17,104634.00,31,3375.29
1851761936365762,"251217/清水絢吾/箕輪さん/冒頭①_コピー5/LP2-CR00179",AI_3,LP2-CR00179,"TikTok広告-AI-LP2-CR00179",2025-12-16,2025-12-18,5124.00,1,5124.00
1851761593295889,"251217/清水絢吾/箕輪さん/冒頭①_コピー4/LP2-CR00178",AI_3,LP2-CR00178,"TikTok広告-AI-LP2-CR00178",2025-12-16,2025-12-18,5086.00,16,317.88
1851761936366850,"251217/清水絢吾/箕輪さん/冒頭②_コピー4/LP2-CR00181",AI_3,LP2-CR00181,"TikTok広告-AI-LP2-CR00181",2025-12-16,2025-12-18,5016.00,6,836.00
1851761936366882,"251217/清水絢吾/箕輪さん/冒頭②_コピー5/LP2-CR00182",AI_3,LP2-CR00182,"TikTok広告-AI-LP2-CR00182",2025-12-16,2025-12-18,5072.00,3,1690.67
1851761936365794,"251217/清水絢吾/箕輪さん/冒頭①_コピー6/LP2-CR00180",AI_3,LP2-CR00180,"TikTok広告-AI-LP2-CR00180",2025-12-16,2025-12-18,5035.00,1,5035.00
1851761936367810,"251217/清水絢吾/箕輪さん/冒頭②_コピー6/LP2-CR00183",AI_3,LP2-CR00183,"TikTok広告-AI-LP2-CR00183",2025-12-16,2025-12-18,5049.00,1,5049.00
1851742385739906,"251217/清水絢吾/1年後悔(クリーン)/奇行_CTAあり_BGMあり/LP2-CR00177",AI_3,LP2-CR00177,"TikTok広告-AI-LP2-CR00177",2025-12-16,2025-12-18,10202.00,7,1457.43
1851740709707778,"251217/清水絢吾/林社長/コピー3/LP2-CR00173",AI_3,LP2-CR00173,"TikTok広告-AI-LP2-CR00173",2025-12-16,2025-12-18,6853.00,2,3426.50
1851740709706786,"251217/清水絢吾/箕輪さん/コピー6/LP2-CR00172",AI_3,LP2-CR00172,"TikTok広告-AI-LP2-CR00172",2025-12-16,2025-12-18,6675.00,0,N/A
