広告ID,広告名,CR名,LP名,登録経路,配信開始日,初動終了日,初動3日間費用,初動3日間CV数,初動3日間CPA
1.85361E+15,260107/清水絢吾/おい会社員(セミナー)/演出あり/冒頭3/LP2-CR00206,CR00206,LP2,TikTok広告-スキルプラス-LP2-CR00206,2026/1/7,2026/1/9,4066,0,N/A
1.85361E+15,260107/清水絢吾/おい会社員(セミナー)/演出あり/冒頭2/LP2-CR00207,CR00207,LP2,TikTok広告-スキルプラス-LP2-CR00207,2026/1/7,2026/1/9,4071,0,N/A
1.85361E+15,260107/清水絢吾/おい会社員(セミナー)/演出なし/冒頭5/LP2-CR00208,CR00208,LP2,TikTok広告-スキルプラス-LP2-CR00208,2026/1/7,2026/1/9,12254,3,4084.67
1.85361E+15,260104/清水絢吾/はいそこまで/LP2-CR00209,CR00209,LP2,TikTok広告-スキルプラス-LP2-CR00209,2026/1/7,2026/1/9,16472,3,5490.67
1.85361E+15,260107/清水絢吾/本質足りてない/冒頭1/LP2-CR00210,CR00210,LP2,TikTok広告-スキルプラス-LP2-CR00210,2026/1/7,2026/1/9,3944,0,N/A
1.85361E+15,260107/清水絢吾/本質足りてない/冒頭2/LP2-CR00211,CR00211,LP2,TikTok広告-スキルプラス-LP2-CR00211,2026/1/7,2026/1/9,3952,0,N/A
1.85361E+15,260107/清水絢吾/本質足りてない/冒頭3/LP2-CR00212,CR00212,LP2,TikTok広告-スキルプラス-LP2-CR00212,2026/1/7,2026/1/9,4211,0,N/A
1.85362E+15,260107/清水絢吾/林社長→これ間違えました改/LP2-CR00214,CR00214,LP2,TikTok広告-スキルプラス-LP2-CR00214,2026/1/7,2026/1/9,4420,0,N/A
1.85344E+15,260104/清水絢吾/ドキッとすることをいうやつ(セミナー/BGMなし/LP2-CR00215,CR00215,LP2,TikTok広告-スキルプラス-LP2-CR00215,2026/1/5,2026/1/7,11211,1,11211
1.85365E+15,260108/清水絢吾/開催決定Ver2冒頭12/LP2-CR00216,CR00216,LP2,TikTok広告-スキルプラス-LP2-CR00216,2026/1/8,2026/1/10,14625,2,7312.5
1.85366E+15,260108/清水絢吾/はいそこまで/LP2-CR00217,CR00217,LP2,TikTok広告-スキルプラス-LP2-CR00217,2026/1/8,2026/1/10,18150,3,6050
1.85366E+15,260108/清水絢吾/意味ないです冒頭3/LP2-CR00218,CR00218,LP2,TikTok広告-スキルプラス-LP2-CR00218,2026/1/8,2026/1/10,7119,0,N/A
1.85366E+15,260108/清水絢吾/はいそこまで/LP2-CR00219,CR00219,LP2,TikTok広告-スキルプラス-LP2-CR00219,2026/1/8,2026/1/10,7634,0,N/A
1.85371E+15,260108/清水絢吾/おい会社員（クリーン）イキイキ/LP2-CR00220,CR00220,LP2,TikTok広告-スキルプラス-LP2-CR00220,2026/1/8,2026/1/10,19346,2,9673
1.85371E+15,260108/清水絢吾/おい会社員（クリーン）ランチ/LP2-CR00221,CR00221,LP2,TikTok広告-スキルプラス-LP2-CR00221,2026/1/8,2026/1/10,10727,1,10727
1.85373E+15,260109/清水絢吾/個別予約CPO低いCR詰め合わせ/LP2-CR00223,CR00223,LP2,TikTok広告-スキルプラス-LP2-CR00223,2026/1/9,2026/1/11,6567,1,6567
1.85373E+15,260109/清水絢吾/個別予約CPO低いCR詰め合わせ/LP2-CR00224,CR00224,LP2,TikTok広告-スキルプラス-LP2-CR00224,2026/1/9,2026/1/11,5873,0,N/A
1.85373E+15,260109/清水絢吾/個別予約CPO低いCR詰め合わせ/LP2-CR00225,CR00225,LP2,TikTok広告-スキルプラス-LP2-CR00225,2026/1/9,2026/1/11,6352,0,N/A
1.85373E+15,260109/清水絢吾/個別予約CPO低いCR詰め合わせ/LP2-CR00226,CR00226,LP2,TikTok広告-スキルプラス-LP2-CR00226,2026/1/9,2026/1/11,6297,0,N/A
1.85373E+15,260109/清水絢吾/個別予約CPO低いCR詰め合わせ/LP2-CR00227,CR00227,LP2,TikTok広告-スキルプラス-LP2-CR00227,2026/1/9,2026/1/11,43199,8,5399.88
1.85373E+15,260109/清水絢吾/個別予約CPO低いCR詰め合わせ/LP2-CR00228,CR00228,LP2,TikTok広告-スキルプラス-LP2-CR00228,2026/1/9,2026/1/11,6448,0,N/A
1.85373E+15,260109/清水絢吾/個別予約CPO低いCR詰め合わせ/LP2-CR00229,CR00229,LP2,TikTok広告-スキルプラス-LP2-CR00229,2026/1/9,2026/1/11,37393,6,6232.17
1.85373E+15,260109/清水絢吾/個別予約CPO低いCR詰め合わせ/LP2-CR00230,CR00230,LP2,TikTok広告-スキルプラス-LP2-CR00230,2026/1/9,2026/1/11,6333,0,N/A
