広告ID,広告名,広告タイプ,登録経路,インプレッション,クリック数,費用,CTR(%),CPM,CV数,CVR(%),CPA
1.84583E+15,251006/清水絢吾/セミナー開催決定/冒頭①/LP2-CR00008ーダイジェスト/A/LP2-CR00009,REGULAR,TikTok広告-スキルプラス-LP2-CR00147,21894,129,68338,0.59,3121.31,22,17.05,3106.27
1.84548E+15,251006/清水絢吾/セミナ251006/清水絢吾/セミナー開催決定/冒頭①/LP2-CR00008ーダイジェスト/A/LP2-CR00009,REGULAR,TikTok広告-スキルプラス-LP2-CR00148,3993,19,12395,0.48,3104.18,22,115.79,563.41
1.84548E+15,251006/清水絢吾/セミナー開催決定/冒頭①/LP2-CR00008,REGULAR,TikTok広告-スキルプラス-LP2-CR00149,8219,54,24996,0.66,3041.25,22,40.74,1136.18
1.84548E+15,251006/清水絢吾/セミナー開催決定/冒頭③/LP2-CR00010,REGULAR,TikTok広告-スキルプラス-LP2-CR00150,2348,13,6591,0.55,2807.07,2,15.38,3295.5
1.84521E+15,251006/清水絢吾/セミナーダイジェスト/A/LP2-CR00007,REGULAR,TikTok広告-スキルプラス-LP2-CR00151,10961,45,38446,0.41,3507.53,11,24.44,3495.09
1.8443E+15,250920/清水絢吾/オートウェビナー1/1080*1080/LP2-CR00001,REGULAR,TikTok広告-スキルプラス-LP2-CR00152,0,0,0,0,0,0,0,0
1.8443E+15,250920/清水絢吾/オートウェビナー2/1080*1080/LP2-CR00002,REGULAR,TikTok広告-スキルプラス-LP2-CR00153,0,0,0,0,0,0,0,0
1.8443E+15,250920/清水絢吾/オートウェビナー2/1080*1080/LP2-CR00003,REGULAR,TikTok広告-スキルプラス-LP2-CR00154,0,0,0,0,0,0,0,0
1.8443E+15,250920/清水絢吾/オートウェビナー2/1080*1920/LP2-CR00004,REGULAR,TikTok広告-スキルプラス-LP2-CR00155,0,0,0,0,0,0,0,0
1.8443E+15,250920/清水絢吾/「学び方」で未来は変わる/LP2-CR00005,REGULAR,TikTok広告-スキルプラス-LP2-CR00156,43553,233,110201,0.53,2530.27,17,7.3,6482.41
1.84403E+15,250920/清水絢吾/「学び方」で未来は変わる/LP2-CR00005,REGULAR,TikTok広告-スキルプラス-LP2-CR00157,0,0,0,0,0,17,0,0
1.84376E+15,250920/清水絢吾/オートウェビナー2/1080*1920/LP2-CR00004,REGULAR,TikTok広告-スキルプラス-LP2-CR00158,0,0,0,0,0,0,0,0
1.84376E+15,250920/清水絢吾/オートウェビナー2/1080*1080/LP2-CR00003,REGULAR,TikTok広告-スキルプラス-LP2-CR00159,0,0,0,0,0,0,0,0
1.84376E+15,250920/清水絢吾/オートウェビナー1/1080*1920/LP2-CR00002,REGULAR,TikTok広告-スキルプラス-LP2-CR00160,0,0,0,0,0,0,0,0
1.84376E+15,250920/清水絢吾/オートウェビナー1/1080*1080/LP2-CR00001,REGULAR,TikTok広告-スキルプラス-LP2-CR00161,0,0,0,0,0,0,0,0
